archivo,pagina,variable_detectada,tipo,categoria,palabras_clave_encontradas,porcentajes_en_pagina,evidencia
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,6,Bienestar y balance vida-trabajo,Tendencia laboral,Bienestar laboral,"wellbeing, work-life balance, balance",,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,6,ESG y sostenibilidad,Tendencia laboral,Sostenibilidad,esg,,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,6,DE&I y diversidad,Tendencia laboral,Diversidad e inclusión,de&i,,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,7,Digitalización y tecnología,Tendencia laboral,Transformación digital,"digitalization, technology",,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,7,Atracción y retención de talento,Tendencia laboral,Talento humano,"hiring, retention",,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,7,Upskilling y reskilling,Tendencia laboral,Formación y actualización,"upskilling, reskilling, development",,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,7,Trabajo flexible y remoto,Tendencia laboral,Modelos de trabajo,"flexible, remote, work from anywhere",,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,7,Bienestar y balance vida-trabajo,Tendencia laboral,Bienestar laboral,"wellbeing, work-life balance, balance",,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,7,ESG y sostenibilidad,Tendencia laboral,Sostenibilidad,esg,,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,7,DE&I y diversidad,Tendencia laboral,Diversidad e inclusión,de&i,,Digitalization and Technology Hiring and Retention Changing Company Needs  Dealing with Inflation Layoffs and Insecurity  Attrition Increase Better Salaries and Benefits ESG and DE&I Importance Flexible and Remote  Working Work for a Purpose-led Firm Investment on Development Wellbeing/Work-life Balance Battle for Skilled Talent  Upskilling and Reskilling Salary Increase  Contra Offers High Specialization Work from Anywhere New Jobs Creation Great Resignation  Quite-Quitting / Quite-Hiring Changing Working Habits  Political Instability Economical Challenges Market Regulations Skills  Shortage  Employee  Demands  Demographic Challengers  Organization  Challenges Retos del Mercado Laboral
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,9,Liderazgo,Competencia transversal,Liderazgo y gestión,ceo,"58%, 56%, 47%, 34%, 30%, 29%, 14%, 11%, 7%",¿Cuál impacto en como los CEOs lideran sus organizaciones? 58% 56% 47% 34% 30% 29% 14% 11%Expectativas de Companies con Proposito Social  Disrupcion en las Cadenas Logisticas Presion Relacionada a Suntenbilidad Cambios en los Modelos de Trabajo La Guerra por el Talento Inflacion y Problemas Economicos Riesgo de TecnologiasDisruptivas McKinsey:Tendencias de Mayor Impacto en Como CEOs Lideran sus Organizaciones 2023 Riesgos Gopoliticos 7%Persistencia de las Brechas de Salarios
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,9,Digitalización y tecnología,Tendencia laboral,Transformación digital,tecnologia,"58%, 56%, 47%, 34%, 30%, 29%, 14%, 11%, 7%",¿Cuál impacto en como los CEOs lideran sus organizaciones? 58% 56% 47% 34% 30% 29% 14% 11%Expectativas de Companies con Proposito Social  Disrupcion en las Cadenas Logisticas Presion Relacionada a Suntenbilidad Cambios en los Modelos de Trabajo La Guerra por el Talento Inflacion y Problemas Economicos Riesgo de TecnologiasDisruptivas McKinsey:Tendencias de Mayor Impacto en Como CEOs Lideran sus Organizaciones 2023 Riesgos Gopoliticos 7%Persistencia de las Brechas de Salarios
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,9,Atracción y retención de talento,Tendencia laboral,Talento humano,talento,"58%, 56%, 47%, 34%, 30%, 29%, 14%, 11%, 7%",¿Cuál impacto en como los CEOs lideran sus organizaciones? 58% 56% 47% 34% 30% 29% 14% 11%Expectativas de Companies con Proposito Social  Disrupcion en las Cadenas Logisticas Presion Relacionada a Suntenbilidad Cambios en los Modelos de Trabajo La Guerra por el Talento Inflacion y Problemas Economicos Riesgo de TecnologiasDisruptivas McKinsey:Tendencias de Mayor Impacto en Como CEOs Lideran sus Organizaciones 2023 Riesgos Gopoliticos 7%Persistencia de las Brechas de Salarios
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,9,Trabajo flexible y remoto,Tendencia laboral,Modelos de trabajo,modelos de trabajo,"58%, 56%, 47%, 34%, 30%, 29%, 14%, 11%, 7%",¿Cuál impacto en como los CEOs lideran sus organizaciones? 58% 56% 47% 34% 30% 29% 14% 11%Expectativas de Companies con Proposito Social  Disrupcion en las Cadenas Logisticas Presion Relacionada a Suntenbilidad Cambios en los Modelos de Trabajo La Guerra por el Talento Inflacion y Problemas Economicos Riesgo de TecnologiasDisruptivas McKinsey:Tendencias de Mayor Impacto en Como CEOs Lideran sus Organizaciones 2023 Riesgos Gopoliticos 7%Persistencia de las Brechas de Salarios
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,9,ESG y sostenibilidad,Tendencia laboral,Sostenibilidad,esg,"58%, 56%, 47%, 34%, 30%, 29%, 14%, 11%, 7%",¿Cuál impacto en como los CEOs lideran sus organizaciones? 58% 56% 47% 34% 30% 29% 14% 11%Expectativas de Companies con Proposito Social  Disrupcion en las Cadenas Logisticas Presion Relacionada a Suntenbilidad Cambios en los Modelos de Trabajo La Guerra por el Talento Inflacion y Problemas Economicos Riesgo de TecnologiasDisruptivas McKinsey:Tendencias de Mayor Impacto en Como CEOs Lideran sus Organizaciones 2023 Riesgos Gopoliticos 7%Persistencia de las Brechas de Salarios
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,10,Liderazgo,Competencia transversal,Liderazgo y gestión,ceo,"51%, 34%, 31%, 29%, 20%, 15%, 15%, 9%, 9%, 6%, 8%, 5%, 32%, 5%, 27%, 43%, 26%, 202%, 24%, 77%",¿Cuáles san las areas de negocio estratégicas? 51% 34% 31% 29% 20% 15% 15% 9% 9% 6%Ventas Costos Sustentabilidad Clientes Productos y Servicios Financeiro Corporativo Fuerza Laboral Technologia Crescimento Gartner: Areas del negocio estratégicas para los CEOs 2022-2023 8% 5% 32% 5% 27% 43% 26% 202% 24% 77%
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,10,ESG y sostenibilidad,Tendencia laboral,Sostenibilidad,sustentabilidad,"51%, 34%, 31%, 29%, 20%, 15%, 15%, 9%, 9%, 6%, 8%, 5%, 32%, 5%, 27%, 43%, 26%, 202%, 24%, 77%",¿Cuáles san las areas de negocio estratégicas? 51% 34% 31% 29% 20% 15% 15% 9% 9% 6%Ventas Costos Sustentabilidad Clientes Productos y Servicios Financeiro Corporativo Fuerza Laboral Technologia Crescimento Gartner: Areas del negocio estratégicas para los CEOs 2022-2023 8% 5% 32% 5% 27% 43% 26% 202% 24% 77%
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,11,Liderazgo,Competencia transversal,Liderazgo y gestión,ceo,"30%, 33%, 72%, 6%, 53%",¿Cómo trabajar la atracción y retención de talento? Attrition antes de los 3 meses30% Cuesto del sueldo anual para reemplazo33% Onbording - tiempo  individual con su jefe72% 5x Relación del feedback constante con retención 6% CEOs pasan poco tiempo con  sus equipos 53% Empresas están desconectadas  con lo que esperan de cultura
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,11,Comunicación efectiva,Competencia transversal,Comunicación,feedback,"30%, 33%, 72%, 6%, 53%",¿Cómo trabajar la atracción y retención de talento? Attrition antes de los 3 meses30% Cuesto del sueldo anual para reemplazo33% Onbording - tiempo  individual con su jefe72% 5x Relación del feedback constante con retención 6% CEOs pasan poco tiempo con  sus equipos 53% Empresas están desconectadas  con lo que esperan de cultura
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,11,Atracción y retención de talento,Tendencia laboral,Talento humano,"retención, atracción, talento","30%, 33%, 72%, 6%, 53%",¿Cómo trabajar la atracción y retención de talento? Attrition antes de los 3 meses30% Cuesto del sueldo anual para reemplazo33% Onbording - tiempo  individual con su jefe72% 5x Relación del feedback constante con retención 6% CEOs pasan poco tiempo con  sus equipos 53% Empresas están desconectadas  con lo que esperan de cultura
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,12,Liderazgo,Competencia transversal,Liderazgo y gestión,"líder, lideres","27%, 72%, 50%, 51%, 53%",¿Qué piensa las profesionales? Abiertos a nuevas Oportnidades  27% Se arrepienten del  cambio Empresas invirtiendo en capacitación Satisfechos con su compañía Satisfechos con su líder Satisfechos con su sueldo Satisfechos con sus prestaciones  72% 50% 51% Pretenden buscar trabajo en <6 meses  53% Empatía característica  más admirada en lideres
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,12,Upskilling y reskilling,Tendencia laboral,Formación y actualización,capacitación,"27%, 72%, 50%, 51%, 53%",¿Qué piensa las profesionales? Abiertos a nuevas Oportnidades  27% Se arrepienten del  cambio Empresas invirtiendo en capacitación Satisfechos con su compañía Satisfechos con su líder Satisfechos con su sueldo Satisfechos con sus prestaciones  72% 50% 51% Pretenden buscar trabajo en <6 meses  53% Empatía característica  más admirada en lideres
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,14,Liderazgo,Competencia transversal,Liderazgo y gestión,"liderazgo, ceo","42%, 38%, 18%, 2%",Liderazgo ¿Cuál es la habilidade más importante en un CEO? Pensamiento estratégico Comunicación Efectiva  Conocimiento Técnico 42% 38% 18% 2%
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,14,Comunicación efectiva,Competencia transversal,Comunicación,comunicación efectiva,"42%, 38%, 18%, 2%",Liderazgo ¿Cuál es la habilidade más importante en un CEO? Pensamiento estratégico Comunicación Efectiva  Conocimiento Técnico 42% 38% 18% 2%
